490,Москва,Москва,Центральный,11514330,1147

781,Санкт-Петербург,Санкт-Петербург,Северо-Западный,4848742,1703

634,Новосибирск,Новосибирская область,Сибирский,1498921,1893

829,Екатеринбург,Свердловская область,Уральский,1377738,1723

606,Нижний Новгород,Нижегородская область,Приволжский,1250615,1221

769,Самара,Самарская область,Приволжский,1164900,1586

643,Омск,Омская область,Сибирский,1154000,1716

922,Казань,Татарстан,Приволжский,1143546,1005

1058,Челябинск,Челябинская область,Уральский,1130273,1736

744,Ростов-на-Дону,Ростовская область,Южный,1091544,1749

62,Уфа,Башкортостан,Приволжский,1062300,1574

121,Волгоград,Волгоградская область,Южный,1021244,1589

693,Пермь,Пермский край,Приволжский,1000679,1723